iter	Passed	Remaining
0	4	1348
1	9	1415
2	14	1387
3	18	1347
4	23	1369
5	27	1341
6	31	1331
7	35	1309
8	40	1301
9	44	1289
10	48	1283
11	52	1271
12	57	1260
13	60	1241
14	64	1220
15	68	1210
16	71	1192
17	75	1175
18	79	1172
19	83	1169
20	87	1165
21	91	1155
22	95	1147
23	98	1135
24	101	1119
25	105	1107
26	108	1095
27	111	1081
28	114	1067
29	117	1053
30	119	1039
31	122	1029
32	125	1016
33	127	1000
34	131	992
35	134	983
36	136	970
37	138	957
38	141	945
39	144	937
40	147	928
41	150	922
42	153	916
43	156	909
44	159	904
45	162	897
46	166	893
47	169	887
48	172	882
49	175	877
50	179	876
51	183	873
52	186	868
53	189	865
54	193	863
55	197	859
56	200	856
57	204	853
